AD,ED,Candidate,Votes
57,28,Joseph R. Biden / Kamala D. Harris (Democratic),415
57,28,Donald J. Trump / Michael R. Pence (Republican),14
57,28,Donald J. Trump / Michael R. Pence (Conservative),2
57,28,Joseph R. Biden / Kamala D. Harris (Working Families),134
57,28,Howie Hawkins / Angela Nicole Walker (Green),4
57,28,Jo Jorgensen / Jeremy Cohen (Libertarian),2
57,28,Brock Pierce / Karla Ballard (Independence),0
57,28,Scattered,4
57,29,Public Counter,543
57,29,Manually Counted Emergency,0
57,29,Absentee / Military,147
57,29,Federal,12
57,29,Special Presidential,0
57,29,Affidavit,3
57,29,Joseph R. Biden / Kamala D. Harris (Democratic),461
57,29,Donald J. Trump / Michael R. Pence (Republican),13
57,29,Donald J. Trump / Michael R. Pence (Conservative),5
57,29,Joseph R. Biden / Kamala D. Harris (Working Families),215
57,29,Howie Hawkins / Angela Nicole Walker (Green),7
57,29,Jo Jorgensen / Jeremy Cohen (Libertarian),1
57,29,Brock Pierce / Karla Ballard (Independence),0
57,29,Scattered,1
57,30,Public Counter,448
57,30,Manually Counted Emergency,0
57,30,Absentee / Military,91
57,30,Federal,0
57,30,Special Presidential,0
57,30,Affidavit,2
57,30,Joseph R. Biden / Kamala D. Harris (Democratic),433
57,30,Donald J. Trump / Michael R. Pence (Republican),18
57,30,Donald J. Trump / Michael R. Pence (Conservative),4
57,30,Joseph R. Biden / Kamala D. Harris (Working Families),78
57,30,Howie Hawkins / Angela Nicole Walker (Green),3
57,30,Jo Jorgensen / Jeremy Cohen (Libertarian),0
57,30,Brock Pierce / Karla Ballard (Independence),0
57,30,Scattered,3
57,31,Public Counter,677
57,31,Manually Counted Emergency,0
57,31,Absentee / Military,198
57,31,Federal,1
57,31,Special Presidential,0
57,31,Affidavit,3
57,31,Joseph R. Biden / Kamala D. Harris (Democratic),731
57,31,Donald J. Trump / Michael R. Pence (Republican),30
57,31,Donald J. Trump / Michael R. Pence (Conservative),6
57,31,Joseph R. Biden / Kamala D. Harris (Working Families),99
57,31,Howie Hawkins / Angela Nicole Walker (Green),2
57,31,Jo Jorgensen / Jeremy Cohen (Libertarian),1
57,31,Brock Pierce / Karla Ballard (Independence),1
57,31,Scattered,2
57,32,Public Counter,348
57,32,Manually Counted Emergency,0
57,32,Absentee / Military,41
57,32,Federal,0
57,32,Special Presidential,0
57,32,Affidavit,8
57,32,Joseph R. Biden / Kamala D. Harris (Democratic),316
57,32,Donald J. Trump / Michael R. Pence (Republican),26
57,32,Donald J. Trump / Michael R. Pence (Conservative),3
57,32,Joseph R. Biden / Kamala D. Harris (Working Families),44
57,32,Howie Hawkins / Angela Nicole Walker (Green),3
57,32,Jo Jorgensen / Jeremy Cohen (Libertarian),0
57,32,Brock Pierce / Karla Ballard (Independence),3
57,32,Scattered,1
57,33,Public Counter,251
57,33,Manually Counted Emergency,0
57,33,Absentee / Military,18
57,33,Federal,1
57,33,Special Presidential,0
57,33,Affidavit,10
57,33,Joseph R. Biden / Kamala D. Harris (Democratic),232
57,33,Donald J. Trump / Michael R. Pence (Republican),11
57,33,Donald J. Trump / Michael R. Pence (Conservative),2
57,33,Joseph R. Biden / Kamala D. Harris (Working Families),28
57,33,Howie Hawkins / Angela Nicole Walker (Green),1
57,33,Jo Jorgensen / Jeremy Cohen (Libertarian),0
57,33,Brock Pierce / Karla Ballard (Independence),0
57,34,Public Counter,593
57,34,Manually Counted Emergency,0
57,34,Absentee / Military,201
57,34,Federal,12
57,34,Special Presidential,0
57,34,Affidavit,1
57,34,Joseph R. Biden / Kamala D. Harris (Democratic),613
57,34,Donald J. Trump / Michael R. Pence (Republican),15
57,34,Donald J. Trump / Michael R. Pence (Conservative),3
57,34,Joseph R. Biden / Kamala D. Harris (Working Families),165
57,34,Howie Hawkins / Angela Nicole Walker (Green),3
57,34,Jo Jorgensen / Jeremy Cohen (Libertarian),0
57,34,Brock Pierce / Karla Ballard (Independence),0
57,34,Scattered,3
57,35,Public Counter,557
57,35,Manually Counted Emergency,0
57,35,Absentee / Military,211
57,35,Federal,2
57,35,Special Presidential,0
57,35,Affidavit,33
57,35,Joseph R. Biden / Kamala D. Harris (Democratic),593
57,35,Donald J. Trump / Michael R. Pence (Republican),13
57,35,Donald J. Trump / Michael R. Pence (Conservative),0
57,35,Joseph R. Biden / Kamala D. Harris (Working Families),185
57,35,Howie Hawkins / Angela Nicole Walker (Green),4
57,35,Jo Jorgensen / Jeremy Cohen (Libertarian),2
57,35,Brock Pierce / Karla Ballard (Independence),1
57,35,Scattered,4
57,36,Public Counter,522
57,36,Manually Counted Emergency,0
57,36,Absentee / Military,238
57,36,Federal,9
57,36,Special Presidential,0
57,36,Affidavit,48
57,36,Joseph R. Biden / Kamala D. Harris (Democratic),572
57,36,Donald J. Trump / Michael R. Pence (Republican),19
57,36,Donald J. Trump / Michael R. Pence (Conservative),2
57,36,Joseph R. Biden / Kamala D. Harris (Working Families),213
57,36,Howie Hawkins / Angela Nicole Walker (Green),4
57,36,Jo Jorgensen / Jeremy Cohen (Libertarian),0
57,36,Brock Pierce / Karla Ballard (Independence),1
57,36,Scattered,1
57,37,Public Counter,480
57,37,Manually Counted Emergency,0
57,37,Absentee / Military,156
57,37,Federal,2
57,37,Special Presidential,0
57,37,Affidavit,6
57,37,Joseph R. Biden / Kamala D. Harris (Democratic),474
57,37,Donald J. Trump / Michael R. Pence (Republican),18
57,37,Donald J. Trump / Michael R. Pence (Conservative),0
57,37,Joseph R. Biden / Kamala D. Harris (Working Families),144
57,37,Howie Hawkins / Angela Nicole Walker (Green),1
57,37,Jo Jorgensen / Jeremy Cohen (Libertarian),1
57,37,Brock Pierce / Karla Ballard (Independence),0
57,37,Scattered,2
57,38,Public Counter,613
57,38,Manually Counted Emergency,0
57,38,Absentee / Military,218
57,38,Federal,16
57,38,Special Presidential,0
57,38,Affidavit,9
57,38,Joseph R. Biden / Kamala D. Harris (Democratic),598
57,38,Donald J. Trump / Michael R. Pence (Republican),18
57,38,Donald J. Trump / Michael R. Pence (Conservative),1
57,38,Joseph R. Biden / Kamala D. Harris (Working Families),229
57,38,Howie Hawkins / Angela Nicole Walker (Green),3
57,38,Jo Jorgensen / Jeremy Cohen (Libertarian),2
57,38,Brock Pierce / Karla Ballard (Independence),0
57,38,Scattered,4
57,39,Public Counter,571
57,39,Manually Counted Emergency,0
57,39,Absentee / Military,244
57,39,Federal,6
57,39,Special Presidential,0
57,39,Affidavit,3
57,39,Joseph R. Biden / Kamala D. Harris (Democratic),615
57,39,Donald J. Trump / Michael R. Pence (Republican),9
57,39,Donald J. Trump / Michael R. Pence (Conservative),2
57,39,Joseph R. Biden / Kamala D. Harris (Working Families),187
57,39,Howie Hawkins / Angela Nicole Walker (Green),0
57,39,Jo Jorgensen / Jeremy Cohen (Libertarian),4
57,39,Brock Pierce / Karla Ballard (Independence),0
57,39,Scattered,6
57,40,Public Counter,502
57,40,Manually Counted Emergency,0
57,40,Absentee / Military,184
57,40,Federal,10
57,40,Special Presidential,0
57,40,Affidavit,5
57,40,Joseph R. Biden / Kamala D. Harris (Democratic),509
57,40,Donald J. Trump / Michael R. Pence (Republican),8
57,40,Donald J. Trump / Michael R. Pence (Conservative),1
57,40,Joseph R. Biden / Kamala D. Harris (Working Families),170
57,40,Howie Hawkins / Angela Nicole Walker (Green),6
57,40,Jo Jorgensen / Jeremy Cohen (Libertarian),2
57,40,Brock Pierce / Karla Ballard (Independence),0
57,40,Scattered,1
57,41,Public Counter,564
57,41,Manually Counted Emergency,0
57,41,Absentee / Military,179
57,41,Federal,6
57,41,Special Presidential,0
57,41,Affidavit,7
57,41,Joseph R. Biden / Kamala D. Harris (Democratic),526
57,41,Donald J. Trump / Michael R. Pence (Republican),15
57,41,Donald J. Trump / Michael R. Pence (Conservative),2
57,41,Joseph R. Biden / Kamala D. Harris (Working Families),193
57,41,Howie Hawkins / Angela Nicole Walker (Green),4
57,41,Jo Jorgensen / Jeremy Cohen (Libertarian),3
57,41,Brock Pierce / Karla Ballard (Independence),0
57,41,Scattered,7
57,42,Public Counter,470
57,42,Manually Counted Emergency,0
57,42,Absentee / Military,142
57,42,Federal,10
57,42,Special Presidential,0
57,42,Affidavit,2
57,42,Joseph R. Biden / Kamala D. Harris (Democratic),477
57,42,Donald J. Trump / Michael R. Pence (Republican),14
57,42,Donald J. Trump / Michael R. Pence (Conservative),0
57,42,Joseph R. Biden / Kamala D. Harris (Working Families),125
57,42,Howie Hawkins / Angela Nicole Walker (Green),2
57,42,Jo Jorgensen / Jeremy Cohen (Libertarian),1
57,42,Brock Pierce / Karla Ballard (Independence),1
57,43,Public Counter,676
57,43,Manually Counted Emergency,0
57,43,Absentee / Military,364
57,43,Federal,17
57,43,Special Presidential,0
57,43,Affidavit,6
57,43,Joseph R. Biden / Kamala D. Harris (Democratic),812
57,43,Donald J. Trump / Michael R. Pence (Republican),31
57,43,Donald J. Trump / Michael R. Pence (Conservative),2
57,43,Joseph R. Biden / Kamala D. Harris (Working Families),202
57,43,Howie Hawkins / Angela Nicole Walker (Green),4
57,43,Jo Jorgensen / Jeremy Cohen (Libertarian),4
57,43,Brock Pierce / Karla Ballard (Independence),0
57,43,Scattered,5
57,44,Public Counter,595
57,44,Manually Counted Emergency,0
57,44,Absentee / Military,160
57,44,Federal,10
57,44,Special Presidential,0
57,44,Affidavit,5
57,44,Joseph R. Biden / Kamala D. Harris (Democratic),597
57,44,Donald J. Trump / Michael R. Pence (Republican),28
57,44,Donald J. Trump / Michael R. Pence (Conservative),7
57,44,Joseph R. Biden / Kamala D. Harris (Working Families),124
57,44,Howie Hawkins / Angela Nicole Walker (Green),4
57,44,Jo Jorgensen / Jeremy Cohen (Libertarian),1
57,44,Brock Pierce / Karla Ballard (Independence),1
57,44,Scattered,3
57,45,Public Counter,529
57,45,Manually Counted Emergency,0
57,45,Absentee / Military,138
57,45,Federal,3
57,45,Special Presidential,0
57,45,Affidavit,7
57,45,Joseph R. Biden / Kamala D. Harris (Democratic),561
57,45,Donald J. Trump / Michael R. Pence (Republican),27
57,45,Donald J. Trump / Michael R. Pence (Conservative),2
57,45,Joseph R. Biden / Kamala D. Harris (Working Families),78
57,45,Howie Hawkins / Angela Nicole Walker (Green),3
57,45,Jo Jorgensen / Jeremy Cohen (Libertarian),2
57,45,Brock Pierce / Karla Ballard (Independence),0
57,45,Scattered,2
57,46,Public Counter,478
57,46,Manually Counted Emergency,0
57,46,Absentee / Military,88
57,46,Federal,0
57,46,Special Presidential,0
57,46,Affidavit,6
57,46,Joseph R. Biden / Kamala D. Harris (Democratic),494
57,46,Donald J. Trump / Michael R. Pence (Republican),20
57,46,Donald J. Trump / Michael R. Pence (Conservative),2
57,46,Joseph R. Biden / Kamala D. Harris (Working Families),51
57,46,Howie Hawkins / Angela Nicole Walker (Green),1
57,46,Jo Jorgensen / Jeremy Cohen (Libertarian),2
57,46,Brock Pierce / Karla Ballard (Independence),0
57,46,Scattered,1
57,47,Public Counter,372
57,47,Manually Counted Emergency,0
57,47,Absentee / Military,164
57,47,Federal,4
57,47,Special Presidential,0
57,47,Affidavit,5
57,47,Joseph R. Biden / Kamala D. Harris (Democratic),418
57,47,Donald J. Trump / Michael R. Pence (Republican),9
57,47,Donald J. Trump / Michael R. Pence (Conservative),3
57,47,Joseph R. Biden / Kamala D. Harris (Working Families),113
57,47,Howie Hawkins / Angela Nicole Walker (Green),1
57,47,Jo Jorgensen / Jeremy Cohen (Libertarian),0
57,47,Brock Pierce / Karla Ballard (Independence),0
57,47,Scattered,1
57,48,Public Counter,545
57,48,Manually Counted Emergency,0
57,48,Absentee / Military,170
57,48,Federal,10
57,48,Special Presidential,0
57,48,Affidavit,3
57,48,Joseph R. Biden / Kamala D. Harris (Democratic),531
57,48,Donald J. Trump / Michael R. Pence (Republican),13
57,48,Donald J. Trump / Michael R. Pence (Conservative),5
57,48,Joseph R. Biden / Kamala D. Harris (Working Families),170
57,48,Howie Hawkins / Angela Nicole Walker (Green),3
57,48,Jo Jorgensen / Jeremy Cohen (Libertarian),2
57,48,Brock Pierce / Karla Ballard (Independence),0
57,48,Scattered,2
57,49,Public Counter,579
57,49,Manually Counted Emergency,0
57,49,Absentee / Military,156
57,49,Federal,2
57,49,Special Presidential,0
57,49,Affidavit,6
57,49,Joseph R. Biden / Kamala D. Harris (Democratic),521
57,49,Donald J. Trump / Michael R. Pence (Republican),14
57,49,Donald J. Trump / Michael R. Pence (Conservative),4
57,49,Joseph R. Biden / Kamala D. Harris (Working Families),194
57,49,Howie Hawkins / Angela Nicole Walker (Green),5
57,49,Jo Jorgensen / Jeremy Cohen (Libertarian),0
57,49,Brock Pierce / Karla Ballard (Independence),2
57,49,Scattered,1
57,50,Public Counter,491
57,50,Manually Counted Emergency,0
57,50,Absentee / Military,161
57,50,Federal,3
57,50,Special Presidential,0
57,50,Affidavit,2
57,50,Joseph R. Biden / Kamala D. Harris (Democratic),463
57,50,Donald J. Trump / Michael R. Pence (Republican),11
57,50,Donald J. Trump / Michael R. Pence (Conservative),2
57,50,Joseph R. Biden / Kamala D. Harris (Working Families),172
57,50,Howie Hawkins / Angela Nicole Walker (Green),3
57,50,Jo Jorgensen / Jeremy Cohen (Libertarian),2
57,50,Brock Pierce / Karla Ballard (Independence),1
57,50,Scattered,1
57,51,Public Counter,492
57,51,Manually Counted Emergency,0
57,51,Absentee / Military,174
57,51,Federal,9
57,51,Special Presidential,0
57,51,Affidavit,5
57,51,Joseph R. Biden / Kamala D. Harris (Democratic),501
57,51,Donald J. Trump / Michael R. Pence (Republican),13
57,51,Donald J. Trump / Michael R. Pence (Conservative),1
57,51,Joseph R. Biden / Kamala D. Harris (Working Families),159
57,51,Howie Hawkins / Angela Nicole Walker (Green),1
57,51,Jo Jorgensen / Jeremy Cohen (Libertarian),0
57,51,Brock Pierce / Karla Ballard (Independence),0
57,51,Scattered,3
57,52,Public Counter,433
57,52,Manually Counted Emergency,0
57,52,Absentee / Military,93
57,52,Federal,1
57,52,Special Presidential,0
57,52,Affidavit,5
57,52,Joseph R. Biden / Kamala D. Harris (Democratic),387
57,52,Donald J. Trump / Michael R. Pence (Republican),15
57,52,Donald J. Trump / Michael R. Pence (Conservative),4
57,52,Joseph R. Biden / Kamala D. Harris (Working Families),121
57,52,Howie Hawkins / Angela Nicole Walker (Green),1
57,52,Jo Jorgensen / Jeremy Cohen (Libertarian),0
57,52,Brock Pierce / Karla Ballard (Independence),0
57,52,Scattered,3
57,53,Public Counter,456
57,53,Manually Counted Emergency,0
57,53,Absentee / Military,112
57,53,Federal,4
57,53,Special Presidential,0
57,53,Affidavit,11
57,53,Joseph R. Biden / Kamala D. Harris (Democratic),447
57,53,Donald J. Trump / Michael R. Pence (Republican),11
57,53,Donald J. Trump / Michael R. Pence (Conservative),2
57,53,Joseph R. Biden / Kamala D. Harris (Working Families),109
57,53,Howie Hawkins / Angela Nicole Walker (Green),5
57,53,Jo Jorgensen / Jeremy Cohen (Libertarian),1
57,53,Brock Pierce / Karla Ballard (Independence),0
57,53,Scattered,5
57,54,Public Counter,674
57,54,Manually Counted Emergency,0
57,54,Absentee / Military,156
57,54,Federal,6
57,54,Special Presidential,0
57,54,Affidavit,6
57,54,Joseph R. Biden / Kamala D. Harris (Democratic),609
57,54,Donald J. Trump / Michael R. Pence (Republican),24
57,54,Donald J. Trump / Michael R. Pence (Conservative),1
57,54,Joseph R. Biden / Kamala D. Harris (Working Families),195
57,54,Howie Hawkins / Angela Nicole Walker (Green),3
57,54,Jo Jorgensen / Jeremy Cohen (Libertarian),1
57,54,Brock Pierce / Karla Ballard (Independence),1
57,54,Scattered,6
57,55,Public Counter,446
57,55,Manually Counted Emergency,0
57,55,Absentee / Military,142
57,55,Federal,0
57,55,Special Presidential,0
57,55,Affidavit,5
57,55,Joseph R. Biden / Kamala D. Harris (Democratic),454
57,55,Donald J. Trump / Michael R. Pence (Republican),10
57,55,Donald J. Trump / Michael R. Pence (Conservative),0
57,55,Joseph R. Biden / Kamala D. Harris (Working Families),116
57,55,Howie Hawkins / Angela Nicole Walker (Green),3
57,55,Jo Jorgensen / Jeremy Cohen (Libertarian),4
57,55,Brock Pierce / Karla Ballard (Independence),1
57,55,Scattered,2
57,56,Public Counter,570
57,56,Manually Counted Emergency,0
57,56,Absentee / Military,204
57,56,Federal,2
57,56,Special Presidential,0
57,56,Affidavit,9
57,56,Joseph R. Biden / Kamala D. Harris (Democratic),576
57,56,Donald J. Trump / Michael R. Pence (Republican),17
57,56,Donald J. Trump / Michael R. Pence (Conservative),1
57,56,Joseph R. Biden / Kamala D. Harris (Working Families),169
57,56,Howie Hawkins / Angela Nicole Walker (Green),4
57,56,Jo Jorgensen / Jeremy Cohen (Libertarian),6
57,56,Brock Pierce / Karla Ballard (Independence),1
57,56,Scattered,6
57,57,Public Counter,474
57,57,Manually Counted Emergency,0
57,57,Absentee / Military,156
57,57,Federal,2
57,57,Special Presidential,0
57,57,Affidavit,2
57,57,Joseph R. Biden / Kamala D. Harris (Democratic),465
57,57,Donald J. Trump / Michael R. Pence (Republican),19
57,57,Donald J. Trump / Michael R. Pence (Conservative),1
57,57,Joseph R. Biden / Kamala D. Harris (Working Families),140
57,57,Howie Hawkins / Angela Nicole Walker (Green),2
57,57,Jo Jorgensen / Jeremy Cohen (Libertarian),1
57,57,Brock Pierce / Karla Ballard (Independence),0
57,57,Scattered,4
57,58,Public Counter,454
57,58,Manually Counted Emergency,0
57,58,Absentee / Military,115
57,58,Federal,3
57,58,Special Presidential,0
57,58,Affidavit,6
57,58,Joseph R. Biden / Kamala D. Harris (Democratic),436
57,58,Donald J. Trump / Michael R. Pence (Republican),2
57,58,Donald J. Trump / Michael R. Pence (Conservative),1
57,58,Joseph R. Biden / Kamala D. Harris (Working Families),124
57,58,Howie Hawkins / Angela Nicole Walker (Green),4
57,58,Jo Jorgensen / Jeremy Cohen (Libertarian),3
57,58,Brock Pierce / Karla Ballard (Independence),1
57,58,Scattered,3
57,59,Public Counter,410
57,59,Manually Counted Emergency,0
57,59,Absentee / Military,144
57,59,Federal,1
57,59,Special Presidential,0
57,59,Affidavit,4
57,59,Joseph R. Biden / Kamala D. Harris (Democratic),406
57,59,Donald J. Trump / Michael R. Pence (Republican),10
57,59,Donald J. Trump / Michael R. Pence (Conservative),3
57,59,Joseph R. Biden / Kamala D. Harris (Working Families),124
57,59,Howie Hawkins / Angela Nicole Walker (Green),5
57,59,Jo Jorgensen / Jeremy Cohen (Libertarian),1
57,59,Brock Pierce / Karla Ballard (Independence),0
57,59,Scattered,4
57,60,Public Counter,420
57,60,Manually Counted Emergency,0
57,60,Absentee / Military,181
57,60,Federal,7
57,60,Special Presidential,0
57,60,Affidavit,6
57,60,Joseph R. Biden / Kamala D. Harris (Democratic),437
57,60,Donald J. Trump / Michael R. Pence (Republican),21
57,60,Donald J. Trump / Michael R. Pence (Conservative),2
57,60,Joseph R. Biden / Kamala D. Harris (Working Families),148
57,60,Howie Hawkins / Angela Nicole Walker (Green),2
57,60,Jo Jorgensen / Jeremy Cohen (Libertarian),0
57,60,Brock Pierce / Karla Ballard (Independence),0
57,60,Scattered,3
57,61,Public Counter,864
57,61,Manually Counted Emergency,0
57,61,Absentee / Military,356
57,61,Federal,9
57,61,Special Presidential,0
57,61,Affidavit,9
57,61,Joseph R. Biden / Kamala D. Harris (Democratic),955
57,61,Donald J. Trump / Michael R. Pence (Republican),44
57,61,Donald J. Trump / Michael R. Pence (Conservative),7
57,61,Joseph R. Biden / Kamala D. Harris (Working Families),209
57,61,Howie Hawkins / Angela Nicole Walker (Green),4
57,61,Jo Jorgensen / Jeremy Cohen (Libertarian),10
57,61,Brock Pierce / Karla Ballard (Independence),3
57,61,Scattered,2
57,62,Public Counter,421
57,62,Manually Counted Emergency,0
57,62,Absentee / Military,174
57,62,Federal,6
57,62,Special Presidential,0
57,62,Affidavit,7
57,62,Joseph R. Biden / Kamala D. Harris (Democratic),460
57,62,Donald J. Trump / Michael R. Pence (Republican),22
57,62,Donald J. Trump / Michael R. Pence (Conservative),3
57,62,Joseph R. Biden / Kamala D. Harris (Working Families),117
57,62,Howie Hawkins / Angela Nicole Walker (Green),3
57,62,Jo Jorgensen / Jeremy Cohen (Libertarian),1
57,62,Brock Pierce / Karla Ballard (Independence),0
57,63,Public Counter,430
57,63,Manually Counted Emergency,0
57,63,Absentee / Military,179
57,63,Federal,14
57,63,Special Presidential,0
57,63,Affidavit,4
57,63,Joseph R. Biden / Kamala D. Harris (Democratic),445
57,63,Donald J. Trump / Michael R. Pence (Republican),11
57,63,Donald J. Trump / Michael R. Pence (Conservative),4
57,63,Joseph R. Biden / Kamala D. Harris (Working Families),154
57,63,Howie Hawkins / Angela Nicole Walker (Green),7
57,63,Jo Jorgensen / Jeremy Cohen (Libertarian),3
57,63,Brock Pierce / Karla Ballard (Independence),0
57,63,Scattered,2
57,64,Public Counter,626
57,64,Manually Counted Emergency,0
57,64,Absentee / Military,244
57,64,Federal,5
57,64,Special Presidential,0
57,64,Affidavit,2
57,64,Joseph R. Biden / Kamala D. Harris (Democratic),617
57,64,Donald J. Trump / Michael R. Pence (Republican),17
57,64,Donald J. Trump / Michael R. Pence (Conservative),5
57,64,Joseph R. Biden / Kamala D. Harris (Working Families),229
57,64,Howie Hawkins / Angela Nicole Walker (Green),2
57,64,Jo Jorgensen / Jeremy Cohen (Libertarian),0
57,64,Brock Pierce / Karla Ballard (Independence),0
57,64,Scattered,5
57,65,Public Counter,414
57,65,Manually Counted Emergency,0
57,65,Absentee / Military,165
57,65,Federal,9
57,65,Special Presidential,0
57,65,Affidavit,4
57,65,Joseph R. Biden / Kamala D. Harris (Democratic),335
57,65,Donald J. Trump / Michael R. Pence (Republican),14
57,65,Donald J. Trump / Michael R. Pence (Conservative),0
57,65,Joseph R. Biden / Kamala D. Harris (Working Families),233
57,65,Howie Hawkins / Angela Nicole Walker (Green),5
57,65,Jo Jorgensen / Jeremy Cohen (Libertarian),1
57,65,Brock Pierce / Karla Ballard (Independence),0
57,65,Scattered,4
57,66,Public Counter,453
57,66,Manually Counted Emergency,0
57,66,Absentee / Military,120
57,66,Federal,4
57,66,Special Presidential,0
57,66,Affidavit,5
57,66,Joseph R. Biden / Kamala D. Harris (Democratic),413
57,66,Donald J. Trump / Michael R. Pence (Republican),10
57,66,Donald J. Trump / Michael R. Pence (Conservative),2
57,66,Joseph R. Biden / Kamala D. Harris (Working Families),148
57,66,Howie Hawkins / Angela Nicole Walker (Green),2
57,66,Jo Jorgensen / Jeremy Cohen (Libertarian),2
57,66,Brock Pierce / Karla Ballard (Independence),1
57,66,Scattered,1
57,67,Public Counter,478
57,67,Manually Counted Emergency,0
57,67,Absentee / Military,122
57,67,Federal,4
57,67,Special Presidential,0
57,67,Affidavit,4
57,67,Joseph R. Biden / Kamala D. Harris (Democratic),427
57,67,Donald J. Trump / Michael R. Pence (Republican),12
57,67,Donald J. Trump / Michael R. Pence (Conservative),4
57,67,Joseph R. Biden / Kamala D. Harris (Working Families),158
57,67,Howie Hawkins / Angela Nicole Walker (Green),5
57,67,Jo Jorgensen / Jeremy Cohen (Libertarian),0
57,67,Brock Pierce / Karla Ballard (Independence),0
57,67,Scattered,2
57,68,Public Counter,591
57,68,Manually Counted Emergency,0
57,68,Absentee / Military,178
57,68,Federal,3
57,68,Special Presidential,0
57,68,Affidavit,8
57,68,Joseph R. Biden / Kamala D. Harris (Democratic),553
57,68,Donald J. Trump / Michael R. Pence (Republican),25
57,68,Donald J. Trump / Michael R. Pence (Conservative),2
57,68,Joseph R. Biden / Kamala D. Harris (Working Families),187
57,68,Howie Hawkins / Angela Nicole Walker (Green),5
57,68,Jo Jorgensen / Jeremy Cohen (Libertarian),2
57,68,Brock Pierce / Karla Ballard (Independence),0
57,68,Scattered,1
57,69,Public Counter,660
57,69,Manually Counted Emergency,0
57,69,Absentee / Military,191
57,69,Federal,6
57,69,Special Presidential,0
57,69,Affidavit,5
57,69,Joseph R. Biden / Kamala D. Harris (Democratic),640
57,69,Donald J. Trump / Michael R. Pence (Republican),21
57,69,Donald J. Trump / Michael R. Pence (Conservative),4
57,69,Joseph R. Biden / Kamala D. Harris (Working Families),187
57,69,Howie Hawkins / Angela Nicole Walker (Green),5
57,69,Jo Jorgensen / Jeremy Cohen (Libertarian),2
57,69,Brock Pierce / Karla Ballard (Independence),2
57,69,Scattered,1
57,70,Public Counter,638
57,70,Manually Counted Emergency,0
57,70,Absentee / Military,257
57,70,Federal,5
57,70,Special Presidential,0
57,70,Affidavit,6
57,70,Joseph R. Biden / Kamala D. Harris (Democratic),633
57,70,Donald J. Trump / Michael R. Pence (Republican),20
57,70,Donald J. Trump / Michael R. Pence (Conservative),3
57,70,Joseph R. Biden / Kamala D. Harris (Working Families),236
57,70,Howie Hawkins / Angela Nicole Walker (Green),4
57,70,Jo Jorgensen / Jeremy Cohen (Libertarian),2
57,70,Brock Pierce / Karla Ballard (Independence),0
57,70,Scattered,4
57,71,Public Counter,350
57,71,Manually Counted Emergency,0
57,71,Absentee / Military,175
57,71,Federal,12
57,71,Special Presidential,0
57,71,Affidavit,0
57,71,Joseph R. Biden / Kamala D. Harris (Democratic),378
57,71,Donald J. Trump / Michael R. Pence (Republican),13
57,71,Donald J. Trump / Michael R. Pence (Conservative),3
57,71,Joseph R. Biden / Kamala D. Harris (Working Families),134
57,71,Howie Hawkins / Angela Nicole Walker (Green),2
57,71,Jo Jorgensen / Jeremy Cohen (Libertarian),2
57,71,Brock Pierce / Karla Ballard (Independence),0
57,71,Scattered,4
57,72,Public Counter,543
57,72,Manually Counted Emergency,0
57,72,Absentee / Military,250
57,72,Federal,7
57,72,Special Presidential,0
57,72,Affidavit,1
57,72,Joseph R. Biden / Kamala D. Harris (Democratic),537
57,72,Donald J. Trump / Michael R. Pence (Republican),26
57,72,Donald J. Trump / Michael R. Pence (Conservative),1
57,72,Joseph R. Biden / Kamala D. Harris (Working Families),225
57,72,Howie Hawkins / Angela Nicole Walker (Green),4
57,72,Jo Jorgensen / Jeremy Cohen (Libertarian),0
57,72,Brock Pierce / Karla Ballard (Independence),0
57,72,Scattered,3
57,73,Public Counter,385
57,73,Manually Counted Emergency,0
57,73,Absentee / Military,139
57,73,Federal,1
57,73,Special Presidential,0
57,73,Affidavit,1
57,73,Joseph R. Biden / Kamala D. Harris (Democratic),370
57,73,Donald J. Trump / Michael R. Pence (Republican),7
57,73,Donald J. Trump / Michael R. Pence (Conservative),0
57,73,Joseph R. Biden / Kamala D. Harris (Working Families),142
57,73,Howie Hawkins / Angela Nicole Walker (Green),2
57,73,Jo Jorgensen / Jeremy Cohen (Libertarian),1
57,73,Brock Pierce / Karla Ballard (Independence),0
57,73,Scattered,1
57,74,Public Counter,595
57,74,Manually Counted Emergency,0
57,74,Absentee / Military,149
57,74,Federal,7
57,74,Special Presidential,0
57,74,Affidavit,5
57,74,Joseph R. Biden / Kamala D. Harris (Democratic),512
57,74,Donald J. Trump / Michael R. Pence (Republican),16
57,74,Donald J. Trump / Michael R. Pence (Conservative),2
57,74,Joseph R. Biden / Kamala D. Harris (Working Families),214
57,74,Howie Hawkins / Angela Nicole Walker (Green),3
57,74,Jo Jorgensen / Jeremy Cohen (Libertarian),4
57,74,Brock Pierce / Karla Ballard (Independence),0
57,74,Scattered,3
57,75,Public Counter,627
57,75,Manually Counted Emergency,0
57,75,Absentee / Military,171
57,75,Federal,9
57,75,Special Presidential,0
57,75,Affidavit,5
57,75,Joseph R. Biden / Kamala D. Harris (Democratic),586
57,75,Donald J. Trump / Michael R. Pence (Republican),21
57,75,Donald J. Trump / Michael R. Pence (Conservative),0
57,75,Joseph R. Biden / Kamala D. Harris (Working Families),191
57,75,Howie Hawkins / Angela Nicole Walker (Green),4
